State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
Oklahoma,Senate,Primary,2022-06-28,R,Jackson Lahmeyer,0,94504,0,JacksonLahmeyer,Father Pastor https Small Business Owner,236,19596,7,-0.25,0.4,0.037490038
Oklahoma,Senate,Primary,2022-06-28,R,James Lankford,1,242984,1,SenatorLankford,Christ husband Cindy father two daughters serving state Oklahoma United States Senate,749,121439,19,0,0,0.111746905
Oklahoma,Senate,Primary,2022-06-28,D,Jason Bollinger,0,27359,0,Jason_Bollinger,Concerned citizen Former candidate Senate,5908,6174,6,0,0,0.036254964
Oklahoma,Senate,Primary,2022-06-28,D,Jo Glenn,0,21176,0,NO_HANDLE,None,0,0,0,,,
Oklahoma,Senate,Primary,2022-06-28,R,Joan Farr,0,20737,0,NO_HANDLE,None,0,0,0,,,
Oklahoma,Senate,Primary,2022-06-28,D,Madison Horn,1,60631,0,madisonhornok,US Senate Nominee Cybersecurity Critical Infrastructure Foreign Policy Bringing logic back politics Individual defying party politics,9366,19810,17,-0.03125,0.33125,0.025539403
Oregon,Senate,General,2022-11-08,R,Jo Rae Perkins,0,554413,0,PerkinsForUSSen,US Senate Constitution Republican Parties Nominee Wife Mother Grandmother Patriot 2A reunite Oregon America,1533,6073,16,0,0,0.05459715
Oregon,Senate,General,2022-11-08,D,Ron Wyden,1,736343,1,RonWyden,Senator Oregon SenateFinance Chairman Follow WydenPress updates staff Instagram https,622,515309,14,0,0,0.037795315
Oregon,Senate,Primary,2022-05-17,D,Brent Thompson,0,17197,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,R,Christopher Christensen,0,28433,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,R,Darin Harbick,0,107506,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,R,Ibrahim Taher,0,6659,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,R,Jason Beebe,0,39456,0,JasonBeebe,None,0,1,0,,,
Oregon,Senate,Primary,2022-05-17,R,Jo Rae Perkins,1,115701,0,PerkinsForUSSen,US Senate Constitution Republican Parties Nominee Wife Mother Grandmother Patriot 2A reunite Oregon America,1533,6073,16,0,0,0.05459715
Oregon,Senate,Primary,2022-05-17,R,Robert Fleming,0,6821,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,D,Ron Wyden,1,439665,1,RonWyden,Senator Oregon SenateFinance Chairman Follow WydenPress updates staff Instagram https,622,515309,14,0,0,0.037795315
Oregon,Senate,Primary,2022-05-17,R,Samuel Palmer,0,42703,0,NO_HANDLE,None,0,0,0,,,
Oregon,Senate,Primary,2022-05-17,D,William Barlow,0,35025,0,NO_HANDLE,None,0,0,0,,,
Pennsylvania,Senate,General,2022-11-08,D,John Fetterman,1,2637598,0,JohnFetterman,husband GiseleFetterman Commonwealth Pennsylvania,4969,932281,9,0,0,0.295022466
Pennsylvania,Senate,General,2022-11-08,R,Mehmet Oz,0,2460601,0,DrOz,surgeon inventor Empowered millions control health Former Senate candidate Husband best wife father 4 grandfather,847,3911904,24,0.5,0.15,0.013356437
Pennsylvania,Senate,Primary,2022-05-17,D,Alexandria Khalil,0,54460,0,NO_HANDLE,None,0,0,0,,,
