State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Wisconsin,Senate,Primary,D,Steven Olikara,0,5286,0,StevenOlikara,"['Democracy Reformer, Political Commentator, Entrepreneur. Fmr. Candidate for U.S. Senate. Founder/Fmr. CEO @MActionProject. @UWMadison #Badger. @Packers owner.']",4040,5318
Louisiana,Senate,Primary,D,Syrita Steib,0,30371,0,SupportSyrita,['Wife🏳️\u200d🌈 | Ethan & Saige’s Mom🧑🏾\u200d👧🏽. Founder & Executive Director of The OR NOLA. https://t.co/duLFpLYW7g'],182,402
Georgia,Senate,Primary,D,Tamara Johnson-Shealey,0,28984,0,TamaraShealey,['Find me at the intersection of politics and beauty... #TamaraShealey #TamaraForGeorgia'],1335,4494
Kentucky,Senate,Primary,R,Tami Stainfield,0,9526,0,NO_HANDLE,None,0,0
Illinois,Senate,General,D,Tammy Duckworth,1,2174695,1,SenDuckworth,"['Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit']",7331,747443
North Carolina,Senate,General,R,Ted Budd,1,1887701,0,RepTedBudd,['Proudly serving the 13th district of North Carolina. Instagram: reptedbudd'],709,47983
North Carolina,Senate,Primary,R,Ted Budd,1,448128,0,RepTedBudd,['Proudly serving the 13th district of North Carolina. Instagram: reptedbudd'],709,47983
Connecticut,Senate,Primary,R,Themis Klarides,0,37017,0,RepTKlarides,"['Former House Republican Leader, 🇺🇸 114th District; Yankees fan, #greekproud, #valleyproud #familyfirst']",1107,7567
Indiana,Senate,General,D,Thomas McDermott Jr.,0,680831,0,tommcdermottjr,['Married to Judge Marissa McD— Father to 4 Amazing Kids– US Navy Subs (SSN-709)— US Navy Diver— ND Football- Go Cubs Go- PNW (96) - ND Law - Podcast Host @LOCPOD'],4821,10802
Washington,Senate,General,R,Tiffany Smiley,0,738618,0,SmileyForWA,['Wife to @HopeUnseen. Mom to three boys. Veterans Advocate. Former Triage Nurse. Candidate for U.S. Senate.'],1767,34306
Washington,Senate,Primary,R,Tiffany Smiley,1,330176,0,SmileyForWA,['Wife to @HopeUnseen. Mom to three boys. Veterans Advocate. Former Triage Nurse. Candidate for U.S. Senate.'],1767,34306
Ohio,Senate,General,D,Tim Ryan,0,1883223,0,TimRyan,"['Proud dad and husband, Ohio native, die-hard Browns fan.']",2092,314622
Ohio,Senate,Primary,D,Tim Ryan,1,359941,0,TimRyan,"['Proud dad and husband, Ohio native, die-hard Browns fan.']",2092,314622
South Carolina,Senate,General,R,Tim Scott,1,742616,1,SenatorTimScott,['Just a South Carolinian living his mama’s American Dream.'],3772,695231
Hawaii,Senate,Primary,R,Timothy Dalhouse,0,13488,0,NO_HANDLE,None,0,0
Indiana,Senate,General,R,Todd C. Young,1,1063742,1,NO_HANDLE,None,0,0
